categoryA,categoryC,featureD,featureE,featureF,compositionC,unit,result
1,1925,122.299437237519,30.8319059046492,0.0,26.0,15,0.0004579421700264
1,287,122.299437237519,30.8319059046492,0.0,26.0,15,0.0003348406687886
49,287,122.299437237519,30.8319059046492,0.0,26.0,13,0.054071785948921
0,2146,122.299437237519,30.8319059046492,2.0,26.0,14,0.0611428297608503
82,302,93.6771974435832,15.047884084971097,4.0,14.0,7,0.0154392663150436
0,302,93.6771974435832,15.047884084971097,4.0,14.0,14,0.0127783449069973
90,302,93.6771974435832,15.047884084971097,4.0,14.0,1,0.0017220861043052
2,2134,122.299437237519,30.8319059046492,0.0,26.0,13,0.0672967432363083
134,2134,122.299437237519,30.8319059046492,0.0,26.0,17,0.4779162389677316
49,2134,122.299437237519,30.8319059046492,0.0,26.0,13,0.0351984119429783
90,2134,122.299437237519,30.8319059046492,0.0,26.0,1,0.0081437451872593
75,2134,122.299437237519,30.8319059046492,0.0,26.0,0,0.028108190014395
134,1632,122.299437237519,30.8319059046492,6.0,26.0,17,0.4728874389310001
123,1632,122.299437237519,30.8319059046492,6.0,26.0,16,0.6908001493702682
78,942,122.299437237519,30.8319059046492,3.0,26.0,5,0.2728488719685025
134,161,122.299437237519,30.8319059046492,1.0,26.0,17,0.4798865729670299
101,1744,122.299437237519,30.8319059046492,4.0,26.0,12,0.0140195900038108
79,1744,122.299437237519,30.8319059046492,4.0,26.0,1,0.0052586069303465
123,942,122.299437237519,30.8319059046492,4.0,26.0,16,0.6707641647146688
41,1710,122.299437237519,30.8319059046492,3.0,26.0,0,0.0302295628456701
33,1710,122.299437237519,30.8319059046492,3.0,26.0,0,0.0073248882491097
1,1670,122.299437237519,30.8319059046492,5.0,26.0,15,0.0001362689788899
145,102,122.299437237519,30.8319059046492,0.0,26.0,18,0.0082355736914647
49,102,122.299437237519,30.8319059046492,0.0,26.0,13,0.0153144866491782
90,102,122.299437237519,30.8319059046492,0.0,26.0,1,0.0077937276863843
58,102,122.299437237519,30.8319059046492,3.0,26.0,11,0.0002923862350712
23,102,122.299437237519,30.8319059046492,3.0,26.0,3,0.1405631715875741
41,102,122.299437237519,30.8319059046492,3.0,26.0,0,0.0302295628456701
33,102,122.299437237519,30.8319059046492,3.0,26.0,0,0.0433723766952041
101,1101,122.299437237519,30.8319059046492,2.0,26.0,12,0.0148063143944985
23,1101,122.299437237519,30.8319059046492,2.0,26.0,3,0.0948814330264586
101,362,122.299437237519,30.8319059046492,0.0,26.0,12,0.0261074737958808
145,362,122.299437237519,30.8319059046492,0.0,26.0,18,0.0054191454546689
75,362,122.299437237519,30.8319059046492,0.0,26.0,0,0.02807452079703
90,1168,122.299437237519,30.8319059046492,0.0,26.0,1,0.0052269233461673
0,518,122.299437237519,30.8319059046492,2.0,26.0,14,0.0202406905969884
2,518,122.299437237519,30.8319059046492,2.0,26.0,13,0.006838470870901
145,518,122.299437237519,30.8319059046492,2.0,26.0,18,0.0037468818533028
49,518,122.299437237519,30.8319059046492,2.0,26.0,13,0.007532298055805
104,452,93.6771974435832,15.047884084971097,0.0,14.0,11,0.0017720431688815
88,452,93.6771974435832,15.047884084971097,0.0,14.0,8,0.0616451992171799
158,452,93.6771974435832,15.047884084971097,0.0,14.0,11,0.0003834693086016
0,610,122.299437237519,30.8319059046492,0.0,26.0,14,0.0276340080248007
90,610,122.299437237519,30.8319059046492,0.0,26.0,1,0.0066269933496674
78,613,122.299437237519,30.8319059046492,0.0,26.0,5,0.4075906312825453
23,91,122.299437237519,30.8319059046492,2.0,26.0,3,0.0580056397562614
12,91,122.299437237519,30.8319059046492,2.0,26.0,0,0.0469511326615652
101,1600,122.299437237519,30.8319059046492,5.0,26.0,12,0.0232463925347871
58,1600,122.299437237519,30.8319059046492,5.0,26.0,11,0.0001018914801196
41,1600,122.299437237519,30.8319059046492,5.0,26.0,0,0.0201277975604212
79,1600,122.299437237519,30.8319059046492,5.0,26.0,1,0.0043334686734336
156,1600,122.299437237519,30.8319059046492,5.0,26.0,2,0.4091545064377682
112,1600,122.299437237519,30.8319059046492,5.0,26.0,0,0.0780595499659065
135,452,93.6771974435832,15.047884084971097,0.0,14.0,11,1.4165721591471917e-06
